商品ID,ブランド,商品名,香水濃度,容量,参考価格,発売年,トップノート,ミドルノート,ラストノート,香調,シーン,季節,おすすめする人,おすすめしにくい人,注意点,香りプロフィール数値,Amazonリンク,楽天リンク,公式リンク,関連商品,SEOタイトル,SEO説明,情報出典,欠損項目数,欠損項目
dior-2,Dior,ソヴァージュ EDT,オードゥ トワレ,60mL,60mL 14300円,2015,ベルガモット,シチュアンペッパー,アンブロキサン,アロマティック,ビジネス / デート,春 / 秋,フレッシュなアロマティック系を仕事や外出で使いたい人 / 春秋のデートにも使える香りを探している人,ごく控えめな香り立ちを優先したい人,公式オンラインでは確認時に在庫切れと表示されています,,,https://hb.afl.rakuten.co.jp/hgc/g00r2fjn.k90d6872.g00r2fjn.k90d7745/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fblanc-lapin%2Fdir3f0000042%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fblanc-lapin%2Fi%2F10127819%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,https://www.dior.com/ja_jp/beauty/products/%E3%82%BD%E3%83%B4%E3%82%A1%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0685240.html,dior-1 / dior-3 / dior-4,ソヴァージュ EDT（Dior）はどんな匂い？香調・持続・合うシーン｜Sillage,Dior「ソヴァージュ EDT」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,"[{""url"":""https://www.dior.com/ja_jp/beauty/products/%E3%82%BD%E3%83%B4%E3%82%A1%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0685240.html"",""publisher"":""Dior"",""title"":""ソヴァージュ オードゥ トワレ"",""accessedAt"":""2026-07-18"",""supports"":[""concentration"",""sizes""]}]",2,香りプロフィール数値 / Amazonリンク
ck-1,CK,CK one,,,"¥2,500前後",1994,ベルガモット・カルダモン,ジャスミン・スミレ,ムスク・シダー,アロマティック,デイリー / スポーツ,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00ujqnn.k90d6c46.g00ujqnn.k90d76d1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ffragrance-u%2Fca-oneetsp%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Ffragrance-u%2Fi%2F10000444%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,dior-2 / montblanc-1 / azzaro-1,CK one（CK）はどんな匂い？香調・持続・合うシーン｜Sillage,CK「CK one」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
montblanc-1,Montblanc,レジェンド,,,"¥6,500前後",2011,ラベンダー・ベルガモット,アップル・ローズ,オークモス・トンカ,アロマティック,ビジネス / デート,春 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00ss3zn.k90d6334.g00ss3zn.k90d7b5a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fpage-mon007-030%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuiandco%2Fi%2F10007872%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,montblanc-2 / dior-2 / ck-1,レジェンド（Montblanc）はどんな匂い？香調・持続・合うシーン｜Sillage,Montblanc「レジェンド」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
azzaro-1,Azzaro,プール オム,,,"¥4,500前後",1978,アニス・バジル・ラベンダー,プチグレン・ベチバー,レザー・オークモス,アロマティック,ビジネス / フォーマル,秋 / 春,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2F1021975%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10013275%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,azzaro-2 / azzaro-3 / dior-2,プール オム（Azzaro）はどんな匂い？香調・持続・合うシーン｜Sillage,Azzaro「プール オム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
chanel-1,Chanel,アリュール オム スポーツ,,,"¥13,000前後",2004,オレンジ・アルデヒド,シダー・ペッパー,トンカ・アンバー,アロマティック,ビジネス / スポーツ,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00ss3zn.k90d6334.g00ss3zn.k90d7b5a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fcha008-150%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuiandco%2Fi%2F10000705%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,chanel-2 / chanel-3 / chanel-4,アリュール オム スポーツ（Chanel）はどんな匂い？香調・持続・合うシーン｜Sillage,Chanel「アリュール オム スポーツ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
paco-rabanne-1,Paco Rabanne,プール オム,,,"¥4,000前後",1973,ローズマリー・ベルガモット,カーネーション・セージ,トンカ・オークモス,アロマティック,ビジネス / デイリー,秋 / 春,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00t5c4n.k90d68f1.g00t5c4n.k90d7d3e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fdiogreco%2Fpr-pacorabannepourhommedt-100ml%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fdiogreco%2Fi%2F10005147%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,paco-rabanne-2 / paco-rabanne-3 / dior-2,プール オム（Paco Rabanne）はどんな匂い？香調・持続・合うシーン｜Sillage,Paco Rabanne「プール オム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
nautica-1,Nautica,ヴォヤージュ,,,"¥2,000前後",2006,アップル・水生ノート,ミモザ・ロータス,シダー・ムスク,アロマティック,デイリー / スポーツ,夏 / 春,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fnau1041%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10051356%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,dior-2 / ck-1 / montblanc-1,ヴォヤージュ（Nautica）はどんな匂い？香調・持続・合うシーン｜Sillage,Nautica「ヴォヤージュ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
brut-1,Brut,クラシック,,,"¥1,500前後",1964,シトラス・アニス,ラベンダー・ゼラニウム,ムスク・サンダルウッド,アロマティック,デイリー,秋 / 春,,,,,,,,dior-2 / ck-1 / montblanc-1,クラシック（Brut）はどんな匂い？香調・持続・合うシーン｜Sillage,Brut「クラシック」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,10,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 楽天リンク / 公式リンク / 情報出典
guerlain-2,Guerlain,ヴェチバー,,,"¥16,000前後",1959,レモン・ベルガモット,ベチバー・ペッパー,トンカ・タバコ,アロマティック,ビジネス / フォーマル,秋 / 春,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00u4tbn.k90d61d0.g00u4tbn.k90d7ab4/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frareu%2F2024032114%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frareu%2Fi%2F10011358%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,guerlain-1 / guerlain-3 / dior-2,ヴェチバー（Guerlain）はどんな匂い？香調・持続・合うシーン｜Sillage,Guerlain「ヴェチバー」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
ysl-1,YSL,Y メン オーデパルファン,,,"¥13,000前後",2018,ベルガモット・ジンジャー,セージ・ゼラニウム,アンバーウッド・トンカ,アロマティック,ビジネス / デート,春 / 秋,,,,,,,,ysl-2 / ysl-3 / ysl-4,Y メン オーデパルファン（YSL）はどんな匂い？香調・持続・合うシーン｜Sillage,YSL「Y メン オーデパルファン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,10,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 楽天リンク / 公式リンク / 情報出典
chanel-2,Chanel,エゴイスト プラチナム,,,"¥14,000前後",1993,ラベンダー・ローズマリー,ゼラニウム・プチグレン,アンバー・シダー,アロマティック,ビジネス / フォーマル,春 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00rbw6n.k90d6fcb.g00rbw6n.k90d7a2a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Faquabouquet%2Fcha00320%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Faquabouquet%2Fi%2F10008181%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,chanel-1 / chanel-3 / chanel-4,エゴイスト プラチナム（Chanel）はどんな匂い？香調・持続・合うシーン｜Sillage,Chanel「エゴイスト プラチナム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
gucci-1,Gucci,ギルティ プールオム,,,"¥9,000前後",2009,レモン・ラベンダー,オレンジブロッサム・ネロリ,パチョリ・シダー,アロマティック,デート / デイリー,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00ss3zn.k90d6334.g00ss3zn.k90d7b5a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fpage-guc016-050%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuiandco%2Fi%2F10003462%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,gucci-2 / dior-2 / ck-1,ギルティ プールオム（Gucci）はどんな匂い？香調・持続・合うシーン｜Sillage,Gucci「ギルティ プールオム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
dior-3,Dior,ソヴァージュ EDP,,,"¥15,000前後",2018,カラブリアンベルガモット,ラベンダー・シーソルト・スターアニス,アンブロキサン・シダー,アロマティック,デート / ビジネス,秋 / 春,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pl3fn.k90d6b94.g00pl3fn.k90d70c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fwish%2F10047089%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fwish%2Fi%2F10048660%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,dior-1 / dior-2 / dior-4,ソヴァージュ EDP（Dior）はどんな匂い？香調・持続・合うシーン｜Sillage,Dior「ソヴァージュ EDP」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
calvin-klein-1,Calvin Klein,エタニティ フォーメン,,,"¥3,000前後",1989,ラベンダー・マンダリン,セージ・バジル,サンダルウッド・ムスク,アロマティック,ビジネス / デイリー,春 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2F571691%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10010631%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,dior-2 / ck-1 / montblanc-1,エタニティ フォーメン（Calvin Klein）はどんな匂い？香調・持続・合うシーン｜Sillage,Calvin Klein「エタニティ フォーメン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
ysl-2,YSL,リブレ オーデパルファン,オーデパルファム,10mL / 30mL / 50mL / 90mL / 150mL,"¥14,000前後",2019,ラベンダー・マンダリン,オレンジブロッサム・ジャスミン,バニラ・ムスク,フローラル,デート / ビジネス,春 / 秋,ラベンダーとフローラルの対比を楽しみたい人 / 仕事からデートまで使い分けたい人,シトラス主体の軽快さだけを求める人,リフィル対応はボトルの仕様と容量を公式表示で確認してください,,,https://hb.afl.rakuten.co.jp/hgc/g00u7byn.k90d65e3.g00u7byn.k90d7632/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fyslbeauty%2Fww-50424ysl%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fyslbeauty%2Fi%2F10000000%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,https://www.yslbeauty.com/int/fragrance/fragrance-for-her/libre/libre-eau-de-parfum/WW-50424YSL.html,ysl-1 / ysl-3 / ysl-4,リブレ オーデパルファン（YSL）はどんな匂い？香調・持続・合うシーン｜Sillage,YSL「リブレ オーデパルファン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,"[{""url"":""https://www.yslbeauty.com/int/fragrance/fragrance-for-her/libre/libre-eau-de-parfum/WW-50424YSL.html"",""publisher"":""Yves Saint Laurent Beauty"",""title"":""LIBRE Eau de Parfum"",""accessedAt"":""2026-07-18"",""supports"":[""concentration"",""sizes"",""notes""]}]",2,香りプロフィール数値 / Amazonリンク
chanel-3,Chanel,チャンス オー タンドゥル,,,"¥15,000前後",2010,グレープフルーツ・クインス,ジャスミン・ヒヤシンス,ホワイトムスク・シダー,フローラル,デート / デイリー,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00svf6n.k90d68b6.g00svf6n.k90d7eab/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fbrilliantworld%2Fchanel-chance-edp%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fbrilliantworld%2Fi%2F10001495%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,chanel-1 / chanel-2 / chanel-4,チャンス オー タンドゥル（Chanel）はどんな匂い？香調・持続・合うシーン｜Sillage,Chanel「チャンス オー タンドゥル」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
dior-4,Dior,ジャドール,,,"¥16,000前後",1999,ベルガモット・マンダリン,イランイラン・ローズ・ジャスミン,ムスク・バニラ,フローラル,フォーマル / デート,春 / 秋,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00pl3fn.k90d6b94.g00pl3fn.k90d70c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fwish%2F1516362%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fwish%2Fi%2F10016597%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,dior-1 / dior-2 / dior-3,ジャドール（Dior）はどんな匂い？香調・持続・合うシーン｜Sillage,Dior「ジャドール」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
gucci-2,Gucci,ブルーム,,,"¥13,000前後",2017,チュベローズ・ジャスミン,ロサンゲルス・オレンジブロッサム,サンダルウッド・ムスク,フローラル,デート / デイリー,春 / 夏,,,,,,https://hb.afl.rakuten.co.jp/hgc/g00ss3zn.k90d6334.g00ss3zn.k90d7b5a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fpage-guc044-100%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuiandco%2Fi%2F10004377%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,,gucci-1 / ysl-2 / chanel-3,ブルーム（Gucci）はどんな匂い？香調・持続・合うシーン｜Sillage,Gucci「ブルーム」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,,9,香水濃度 / 容量 / おすすめする人 / おすすめしにくい人 / 注意点 / 香りプロフィール数値 / Amazonリンク / 公式リンク / 情報出典
